code,system
F251300,readv2
F255600,readv2
1B1W.00,readv2
F250300,readv2
Fyu5200,readv2
F254400,readv2
F253.11,readv2
F250200,readv2
G41,readv2
F250500,readv2
F255400,readv2
F255300,readv2
F25y000,readv2
F25B.00,readv2
F25C.00,readv2
F255100,readv2
667N.00,readv2
F257.00,readv2
F132111,readv2
F25E.00,readv2
F254000,readv2
8BIF.00,readv2
F25y100,readv2
F25y400,readv2
F25F.00,readv2
F25D.00,readv2
667E.00,readv2
F255500,readv2
F25z.00,readv2
F25z.11,readv2
F256100,readv2
Eu80300,readv2
6674.00,readv2
1O30.00,readv2
F255200,readv2
1473.00,readv2
F258.00,readv2
667B.00,readv2
667M.00,readv2
F25..00,readv2
F254200,readv2
37592.0,readv2
44252.0,readv2
55665.0,readv2
2907.0,readv2
96641.0,readv2
51998.0,readv2
32288.0,readv2
65673.0,readv2
11186.0,readv2
40806.0,readv2
43679.0,readv2
34079.0,readv2
48134.0,readv2
9979.0,readv2
988.0,readv2
36203.0,readv2
26733.0,readv2
49737.0,readv2
24309.0,readv2
49322.0,readv2
71801.0,readv2
39023.0,readv2
59185.0,readv2
55260.0,readv2
68486.0,readv2
105679.0,readv2
4093.0,readv2
34792.0,readv2
37906.0,readv2
27526.0,readv2
56359.0,readv2
4801.0,readv2
26015.0,readv2
3607.0,readv2
45927.0,readv2
22804.0,readv2
37782.0,readv2
18471.0,readv2
30816.0,readv2
45602.0,readv2
23415.0,readv2
22341.0,readv2
49340.0,readv2
38307.0,readv2
55739.0,readv2
4602.0,readv2
108409.0,readv2
9887.0,readv2
7945.0,readv2
37644.0,readv2
73542.0,readv2
23634.0,readv2
31920.0,readv2
68946.0,readv2
26144.0,readv2
65699.0,readv2
30604.0,readv2
98870.0,readv2
69831.0,readv2
9886.0,readv2
71719.0,readv2
4478.0,readv2
3175.0,readv2
31830.0,readv2
99548.0,readv2
59120.0,readv2
99731.0,readv2
9747.0,readv2
9569.0,readv2
8187.0,readv2
573.0,readv2
6271.0,readv2
17399.0,readv2
63826.0,readv2
25330.0,readv2
19170.0,readv2
11394.0,readv2
1715.0,readv2
19363.0,readv2
40105.0,readv2
5525.0,readv2
5152.0,readv2
30635.0,readv2
53483.0,readv2
21885.0,readv2
5117.0,readv2
G40,readv2
F25G.11,readv2
F256.12,readv2
F25y300,readv2
F254500,readv2
F254z00,readv2
F255y00,readv2
F255.00,readv2
F255z00,readv2
F254.00,readv2
F256.00,readv2
F256z00,readv2
Fyu5000,readv2
667T.00,readv2
667Q.00,readv2
667S.00,readv2
667V.00,readv2
F25y200,readv2
Fyu5900,readv2
F250y00,readv2
F25X.00,readv2
F251y00,readv2
F250011,readv2
F250.00,readv2
F251z00,readv2
F250z00,readv2
F251.00,readv2
F259.00,readv2
F132200,readv2
F132100,readv2
F25G.00,readv2
F142200,readv2
F251100,readv2
2126000.0,readv2
212J.00,readv2
667G.00,readv2
667H.00,readv2
9Of7.00,readv2
9Of5.00,readv2
9Of6.00,readv2
667F.00,readv2
667R.00,readv2
667P.00,readv2
6679.00,readv2
667A.00,readv2
6678.00,readv2
667W.00,readv2
F259.11,readv2
F256000,readv2
Eu05212,readv2
Eu05y11,readv2
F254100,readv2
F255012,readv2
F255000,readv2
6677.00,readv2
667X.00,readv2
F255011,readv2
F252.00,readv2
F250000,readv2
667..00,readv2
667Z.00,readv2
667J.00,readv2
F251000,readv2
F253.00,readv2
F255311,readv2
667L.00,readv2
667K.00,readv2
9Of4.00,readv2
9Of3.00,readv2
F251111,readv2
F251400,readv2
F251011,readv2
F251500,readv2
F251200,readv2
667C.00,readv2
667D.00,readv2
Eu06013,readv2
F254300,readv2
67IJ000,readv2
6110.00,readv2
67AF.00,readv2
F256.11,readv2
F25yz00,readv2
F25y.00,readv2
F25y500,readv2
F25A.00,readv2
F250400,readv2
Fyu5100,readv2
F250100,readv2
52632.0,readv2
26620.0,readv2
13220.0,readv2
22991.0,readv2
50012.0,readv2
98536.0,readv2
48462.0,readv2
19549.0,readv2
34473.0,readv2
12848.0,readv2
40863.0,readv2
26618.0,readv2
8385.0,readv2
100920.0,readv2
38919.0,readv2
31877.0,readv2
55706.0,readv2
20566.0,readv2
72384.0,readv2
26512.0,readv2
19550.0,readv2
98442.0,readv2
50702.0,readv2
9326.0,readv2
102359.0,readv2
13221.0,readv2
19551.0,readv2
98977.0,readv2
45757.0,readv2
26619.0,readv2
18899.0,readv2
19552.0,readv2
3783.0,readv2
13219.0,readv2
13073.0,readv2
6709.0,readv2
36696.0,readv2
11015.0,readv2
46603.0,readv2
100652.0,readv2
39160.0,readv2
6983.0,readv2
